Matriz,CCAA,Tipo,viviendas
Visasur SL,Andalucía,Privado,60
Visoren,Cataluña,Privado,274
Vitruvio Real Estate Socimi,Madrid,Privado,214
Viviendas y Derivados 2001 SL,Madrid,Privado,62
Vukile Property Fund Limited,Andalucía,Privado,404
Víctor Pradera 37 SL,Madrid,Privado,151
XJ inurbe SA,Comunidad Valenciana,Privado,71
Xapluc SL,Cataluña,Privado,66
Xunta de Galicia,Galicia,Público,3724
YBN Inversiones SL,Cataluña,Privado,145
Yegro Segovia Eugenio y otros CB,Madrid,Privado,50
Z. Puy & Soler SL,Cataluña,Privado,128
Zaguer Inmoprom SL,Islas Baleares,Privado,107
Zapata SA,Madrid,Privado,69
Zatiber Fusión SL,Aragón,Privado,81
Zazo Hermanos C.B.,Madrid,otros,57
Zein SL,Cataluña,Privado,57
Área Metropolitana de Barcelona,Cataluña,Público,572
Propietario 1 Provincia de León,Castilla y León,Sin datos,125
Propietario 2 Provincia de León,Castilla y León,Sin datos,98
Propietario 3 Provincia de León,Castilla y León,Sin datos,77
Propietario 4 Provincia de León,Castilla y León,Sin datos,71
Propietario 5 Provincia de León,Castilla y León,Sin datos,60
Propietario 6 Provincia de León,Castilla y León,Sin datos,54
Propietario 7 Provincia de León,Castilla y León,Sin datos,51
Propietario 1 Provincia de Burgos,Castilla y León,Sin datos,182
Propietario 2 Provincia de Burgos,Castilla y León,Sin datos,182
Propietario 1 Provincia de Palencia,Castilla y León,Sin datos,54
Propietario 1 Provincia de Valladolid,Castilla y León,Sin datos,238
Propietario 2 Provincia de Valladolid,Castilla y León,Sin datos,185
Propietario 3 Provincia de Valladolid,Castilla y León,Sin datos,126
Propietario 4 Provincia de Valladolid,Castilla y León,Sin datos,91
Propietario 5 Provincia de Valladolid,Castilla y León,Sin datos,74
Propietario 6 Provincia de Valladolid,Castilla y León,Sin datos,67
Propietario 7 Provincia de Valladolid,Castilla y León,Sin datos,65
